Year,China,USA,Russia,UK,France
2025,19.4,30.62,2.56,4.00,3.37
2024,18.94,29.2,2.16,3.64,3.16
2023,17.79,27.36,2.02,3.34,3.03
2022,17.88,25.74,2.27,3.09,2.78
2021,17.82,23.59,1.84,3.14,2.96
2020,14.69,20.89,1.49,2.76,2.63
2019,14.28,21.43,1.69,2.83,2.72
2018,13.89,20.58,1.67,2.86,2.79
2017,12.31,19.52,1.57,2.67,2.6
2016,11.23,18.71,1.28,2.69,2.47
2015,11.06,18.22,1.36,2.93,2.44
2014,10.48,17.53,2.06,3.06,2.85
2013,9.57,16.78,2.29,2.79,2.81
2012,8.53,16.2,2.21,2.7,2.68
2011,7.55,15.54,2.05,2.66,2.86
2010,6.09,14.99,1.52,2.48,2.64
2009,5.1,14.45,1.22,2.41,2.69
2008,4.59,14.71,1.66,2.92,2.92
2007,3.55,14.45,1.3,3.1,2.66
2006,2.75,13.81,0.99,2.71,2.32
2005,2.29,13.04,0.76,2.54,2.2
