Serious,Age,DebtRatio,MonthlyIncome,NumberOfLoans,NumberOfRealEstateLoans,NumberOfDependents
1,45,0.802982129,9120,13,6,2
0,40,0.121876201,2600,4,0,1
0,38,0.085113375,3042,2,0,0
0,30,0.036049682,3300,5,0,0
0,49,0.024925695,63588,7,1,0
0,74,0.375606969,3500,3,1,1
0,57,5710,NA,8,3,0
0,39,0.209940017,3500,8,0,0
0,27,46,NA,2,0,NA
0,57,0.606290901,23684,9,4,2
0,30,0.30947621,2500,5,0,0
0,51,0.53152876,6501,7,2,2
0,46,0.298354075,12454,13,2,2
1,40,0.382964747,13700,9,1,2
0,76,477,0,6,1,0
0,64,0.209891754,11362,7,1,2
0,78,2058,NA,10,2,0
0,53,0.18827406,8800,7,0,0
0,43,0.527887839,3280,7,1,2
0,25,0.065868263,333,2,0,0
0,43,0.430046338,12300,10,2,0
1,38,0.475841386,3000,7,1,2
0,39,0.241103559,2500,4,0,0
0,32,0.085512189,7916,6,0,0
0,58,0.241621845,2416,9,1,0
1,50,1.595253368,4676,14,3,1
0,58,0.097672186,8333,22,1,0
0,69,0.042383047,2500,17,0,1
0,24,0.011761247,3400,1,0,0
0,58,0.436102527,5500,15,1,0
0,28,0.155201143,4200,8,0,0
0,24,0.472703063,750,1,0,0
0,62,977,NA,6,1,0
0,57,0.313812313,7000,9,2,0
0,42,0.257731959,2230,7,0,0
0,64,0.073538769,11000,9,1,0
0,50,0.567858035,4000,9,1,1
0,75,0.134078212,3400,1,1,1
0,26,0.00999001,1000,1,0,0
0,52,0.808340474,3500,10,2,0
0,41,0.539554464,5700,14,1,0
0,81,75,NA,7,0,0
0,31,0.048211004,9250,4,0,1
0,28,0.170125614,3661,4,0,1
0,68,1687.5,1,31,1,0
0,70,0.177787036,16800,12,1,2
0,62,0.011167837,3133,2,0,0
0,31,0.689370485,1937,4,2,0
0,38,0.393662026,13000,13,2,2
0,70,0.256339661,6900,21,1,0
0,73,3095,0,9,1,0
1,31,0.824725092,3000,10,2,1
0,62,0,NA,1,0,0
0,51,0.306381499,5750,5,1,0
0,29,0.008064516,2231,1,0,0
0,55,0.073147745,13793,4,1,0
0,46,0.016921775,13000,10,0,1
0,64,0.351258937,3216,4,1,0
0,43,2477,NA,3,1,2
0,35,0.261609907,5813,10,0,2
0,58,0.241135663,7783,11,1,0
0,69,0.00803428,5600,3,0,0
0,72,1720,NA,12,2,0
0,46,1.051397656,3326,6,2,2
0,60,0.549877805,4500,10,2,0
0,67,0.540983607,3720,2,1,0
0,55,0.316416365,7723,17,1,1
0,27,0.681045752,764,3,0,0
0,31,0.111444278,2000,6,0,2
0,64,0.16106176,9455,13,1,3
0,36,0.262611807,8384,6,2,1
0,67,1824,NA,7,2,0
0,56,0.369590815,6793,15,1,0
0,31,3162,0,11,2,1
1,49,0.182881653,10257,9,2,3
0,36,0.116614347,8600,19,0,3
0,29,0.694646949,4800,5,1,0
0,37,0.074155949,4975,6,0,0
0,69,0.270448637,15000,14,2,1
0,41,2.797698945,1042,11,2,2
0,52,0.111131623,10833,14,2,1
0,66,0.208842479,4500,3,1,0
0,53,2.604510673,12414,13,1,2
0,56,0.492021814,4950,18,2,0
0,31,0.395031809,3300,10,1,0
0,58,0.316144874,4886,9,1,1
0,58,3282,NA,8,2,0
0,64,0.004061231,3200,5,0,0
1,45,0.591477634,4716,13,2,2
0,60,0.487288997,4916,15,2,0
0,51,15466,0,7,0,0
0,83,0.123797734,10500,13,0,0
0,52,2662,NA,10,2,0
0,34,0.368403802,3050,4,0,1
0,44,0.51241535,3100,5,1,0
0,37,0.288417167,6500,11,1,0
0,48,10,NA,2,0,NA
0,57,0.280664917,5714,6,1,0
0,32,0.480523957,2900,4,1,0
0,75,0.006799093,7500,4,0,0
0,61,15,NA,4,0,0
0,34,0.32591852,4000,9,1,0
0,52,0.138238573,2690,2,0,0
0,44,0.299246282,4908,8,0,1
0,57,0.258939285,8333,7,1,0
0,46,0.026235802,6250,6,0,3
0,80,0.003478779,10060,5,0,0
0,32,0.519493502,3000,4,1,1
0,62,0.664221287,8314,8,3,0
0,61,4739,NA,11,4,NA
0,47,0.009748781,8000,2,0,2
0,58,1.382629108,3833,26,4,0
0,52,0.023993145,3500,4,0,0
0,68,0.108089191,10000,10,2,1
0,39,0.384441575,3097,7,1,3
0,74,7,NA,4,0,0
0,46,0.149103029,10200,6,2,0
0,44,1.243362832,4067,5,2,1
0,68,269,NA,4,0,0
0,68,0.12290366,8168,6,0,0
0,31,0.123752495,500,3,0,0
0,34,0.297933792,4500,11,2,0
0,67,0.239507959,4145,13,0,0
0,58,0.366545247,14000,9,2,4
0,39,4090,NA,9,2,0
0,58,0.63332301,3228,5,1,0
0,61,0.2226598,3300,14,1,0
0,59,0.218854341,19167,13,2,0
0,36,0.266394467,12000,22,2,0
0,59,0.351699622,4500,12,1,0
0,43,994,NA,4,1,0
0,77,0.001998002,1000,1,0,0
0,48,0.517468688,4550,7,2,0
0,81,0.086482558,2751,7,0,1
0,51,0.100920343,3150,5,0,0
0,53,0.199647533,7943,8,1,0
0,56,1.065901518,2700,11,1,2
0,63,1.129227053,4139,12,1,1
0,55,0.112051635,9450,6,2,0
0,54,0.315983758,5417,20,2,1
0,55,0.323088235,6799,5,1,0
0,72,3031,NA,11,1,0
0,53,0.534027778,8639,22,2,3
0,27,567,NA,4,0,0
0,31,0.343593791,3800,7,1,0
0,38,0.43369976,5821,7,1,4
0,40,0.452363811,12500,11,2,2
0,48,0.427882174,3937,17,1,0
0,50,0.748071979,3500,9,2,3
0,34,0.025911708,2083,2,0,0
0,48,0.370876375,3000,14,1,5
0,57,0.655812625,3500,9,1,1
0,30,0.315171207,4000,4,1,1
0,28,0.144616356,3166,7,0,0
0,36,0.563752087,9583,10,2,1
0,60,0.412979783,6825,20,2,0
0,58,0.342971419,12000,23,2,4
0,49,0.801999355,3100,11,1,0
0,40,0.034847816,6800,6,0,3
0,63,2,NA,4,0,NA
0,50,0.726566993,3477,5,1,1
0,38,2088,NA,6,1,0
1,47,1.104301274,5416,6,2,1
0,63,0.610841267,5146,9,2,2
0,42,0.593899089,6916,7,3,0
0,54,3.382196162,1875,9,2,0
0,63,1268,NA,8,1,0
0,29,639.5,1,3,1,2
0,36,0.138461538,7734,8,0,0
0,33,0.852429514,5000,7,3,0
0,72,0.089091313,4500,4,0,0
0,29,974,NA,2,0,0
0,53,0.543625949,7506,11,3,3
0,79,0.365151154,4200,9,1,0
0,58,0.342005076,9455,11,2,2
0,69,0.330733853,5000,10,1,1
0,69,0.005319149,2255,0,0,3
0,75,0.010927876,10065,9,0,0
0,41,0.907538526,2400,6,1,0
1,35,1593,NA,6,1,1
0,46,0.667835346,7700,22,2,1
0,65,2177,NA,6,1,1
0,55,0.436665827,3970,10,1,0
0,55,3144,NA,11,1,0
1,51,0.477503628,6200,11,1,0
1,25,0.152896812,2916,3,0,0
1,44,0.291709578,3883,7,0,1
0,86,13,NA,3,0,0
